No.,State/ UT,Abbreviation
1,Andhra Pradesh,AP
2,Arunachal Pradesh,AR
3,Assam,AS
4,Bihar,BR
5,Chhattisgarh,CT
6,Goa,GA
7,Gujarat,GJ
8,Haryana,HR
9,Himachal Pradesh,HP
10,Jharkhand,JH
11,Karnataka,KA
12,Kerala,KL
13,Madhya Pradesh,MP
14,Maharashtra,MH
15,Manipur,MN
16,Meghalaya,ML
17,Mizoram,MZ
18,Nagaland,NL
19,Odisha,OR
20,Punjab,PB
21,Rajasthan,RJ
22,Sikkim,SK
23,Tamil Nadu,TN
24,Telangana,TG
25,Tripura,TR
26,Uttarakhand,UT
27,Uttar Pradesh,UP
28,West Bengal,WB
29,Andaman and Nicobar Islands,AN
30,Chandigarh,CH
31,Dadra and Nagar Haveli,DN
32,Daman and Diu,DD
33,Delhi,DL
34,Jammu and Kashmir,JK
35,Ladakh,LA
36,Lakshadweep,LD
37,Puducherry,PY
